time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-19T16:12:25.880Z,40.7571667,-112.0546667,7.24,1.73,ml,31,47,0.03339,0.16,uu,uu60366702,2020-03-20T02:37:50.567Z,"6km NE of Magna, Utah",earthquake,0.24,0.83,0.146,6,reviewed,uu,uu
2020-03-19T14:30:24.760Z,40.7488333,-112.0601667,6.91,1.65,ml,28,66,0.02861,0.17,uu,uu60366652,2020-03-20T02:41:38.312Z,"5km NE of Magna, Utah",earthquake,0.28,0.74,0.139,5,reviewed,uu,uu
2020-03-19T14:19:51.940Z,40.7428333,-112.055,7.65,1.26,ml,22,55,0.02151,0.14,uu,uu60366647,2020-03-19T14:36:38.550Z,"5km NE of Magna, Utah",earthquake,0.27,0.61,0.291,3,reviewed,uu,uu
2020-03-19T14:16:53.590Z,40.7643333,-112.0746667,10.42,1.51,ml,26,60,0.03791,0.17,uu,uu60366642,2020-03-20T02:37:33.944Z,"6km NNE of Magna, Utah",earthquake,0.29,0.74,0.257,3,reviewed,uu,uu
2020-03-19T13:58:57.920Z,40.7456667,-112.065,8.19,2.38,ml,47,47,0.02897,0.21,uu,uu60366607,2020-03-20T02:41:16.648Z,"5km NE of Magna, Utah",earthquake,0.28,0.82,0.173,14,reviewed,uu,uu
2020-03-19T13:52:26.000Z,40.7466667,-112.0293333,9.07,2.86,ml,55,37,0.02032,0.21,uu,uu60366602,2020-03-23T03:14:21.975Z,"6km NNW of West Valley City, Utah",earthquake,0.23,0.6,0.152,18,reviewed,uu,uu
2020-03-19T13:24:01.080Z,40.7701667,-112.0698333,9.99,1.92,ml,35,52,0.03265,0.19,uu,uu60366567,2020-03-20T02:38:47.394Z,"7km NNE of Magna, Utah",earthquake,0.3,0.82,0.149,7,reviewed,uu,uu
2020-03-19T13:22:10.320Z,40.7406667,-112.037,9.62,1.22,ml,14,54,0.06489,0.1,uu,uu60366562,2020-03-20T17:05:46.330Z,"6km NNW of West Valley City, Utah",earthquake,0.27,0.99,0.079,3,reviewed,uu,uu
2020-03-19T13:07:52.010Z,40.7758333,-112.0746667,9.74,1.51,ml,28,61,0.03543,0.15,uu,uu60366537,2020-03-19T16:37:55.406Z,"7km NNE of Magna, Utah",earthquake,0.28,0.71,0.104,4,reviewed,uu,uu
2020-03-19T13:05:58.060Z,40.741,-112.092,4.34,1.3,ml,13,91,0.05523,0.1,uu,uu60366532,2020-03-19T20:26:57.870Z,"3km NNE of Magna, Utah",earthquake,0.34,1.23,0.111,2,reviewed,uu,uu
